,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
88,03027021,7341,232,3.1603323797847707,106.448,109.5156,106.7697775,107.86789350000001,92,1.2532352540525813,106.448,109.5156,-3,3
228,05170001,5818,164,2.8188380886902715,156.2697,159.281977,156.11021562500002,158.33943062499998,67,1.151598487452733,156.2697,159.281977,-3,3
143,03090012,8034,226,2.813044560617376,46.5351,52.867,48.709484124999996,54.02632512500001,84,1.0455563853622107,46.5351,52.867,-3,3
289,13000002,3393,95,2.7998821102269376,0.9914000000000005,1.849399999999999,1.0053000000000019,1.5156999999999972,33,0.9725906277630416,0.9914000000000005,1.849399999999999,-3,3
158,03097201,12525,343,2.7385229540918163,34.25,37.6206,35.09509499999999,37.90817500000001,221,1.7644710578842315,34.25,37.6206,-3,3
132,03090001,8074,217,2.6876393361406987,47.392716,50.671,47.731203750000006,49.81867774999999,37,0.4582610849640822,47.392716,50.671,-3,3
120,03040010,5547,146,2.6320533621777535,28.527,30.937,29.050869249999998,30.94181925,110,1.9830539030106362,28.527,30.937,-3,3
145,03090014,7724,202,2.6152252718798548,46.3741,53.408,48.083488999999986,54.86738500000001,89,1.15225271879855,46.3741,53.408,-3,3
226,05120001,3900,101,2.5897435897435894,379.4987,381.1224539999999,379.23791624999996,380.77740625000007,20,0.5128205128205128,379.4987,381.1224539999999,-3,3
71,03010004,4133,106,2.5647229615291556,142.768156,145.6967,144.59560000000002,145.5676,30,0.7258649891120251,142.768156,145.6967,-3,3
240,06170001,5580,143,2.5627240143369177,274.70147,276.964207,274.22472375000007,276.3285257499999,75,1.3440860215053763,274.70147,276.964207,-3,3
13,02000006,5621,142,2.526240882405266,6.468154,8.034573,6.798167499999998,8.1219875,52,0.9251022949653086,6.468154,8.034573,-3,3
177,04060001,4117,104,2.526111246052951,239.9572,241.2856,239.92790000000002,240.97429999999997,25,0.6072382803011902,239.9572,241.2856,-3,3
259,08010003,6216,157,2.5257400257400255,319.7476,320.9095,319.61609250000004,320.53660649999995,77,1.2387387387387387,319.7476,320.9095,-3,3
252,07000003,6247,150,2.401152553225548,13.205207,14.1142,13.16282125,13.759603249999998,69,1.1045301744837521,13.205207,14.1142,-3,3
14,02000007,4142,98,2.3660067600193146,28.6671,29.868,28.76206062500001,29.886565624999996,0,0.0,28.6671,29.868,-3,3
263,08010007,5207,123,2.3622047244094486,309.740637,312.120155,310.1688907499999,312.0750487500001,49,0.9410409064720568,309.740637,312.120155,-3,3
187,04300003,5901,138,2.338586680223691,219.136536,225.016236,220.52067949999997,225.3129475,92,1.559057786815794,219.136536,225.016236,-3,3
